date,gas_WI,gas_TX,gas_CA,gas_ALL_avg
2011-01-03,3.064,2.933,3.236,3.078
2011-01-10,3.084,2.944,3.261,3.096
2011-01-17,3.089,2.961,3.286,3.112
2011-01-24,3.087,2.975,3.293,3.118
2011-01-31,3.086,2.948,3.299,3.111
2011-02-07,3.124,2.987,3.332,3.148
2011-02-14,3.09,3.008,3.381,3.16
2011-02-21,3.14,3.041,3.481,3.221
2011-02-28,3.367,3.255,3.623,3.415
2011-03-07,3.487,3.405,3.767,3.553
2011-03-14,3.525,3.438,3.841,3.601
2011-03-21,3.517,3.424,3.857,3.599
2011-03-28,3.55,3.459,3.916,3.642
2011-04-04,3.681,3.537,3.951,3.723
2011-04-11,3.805,3.656,4.035,3.832
2011-04-18,3.847,3.713,4.081,3.88
2011-04-25,3.901,3.712,4.098,3.904
2011-05-02,4.01,3.791,4.14,3.98
2011-05-09,3.982,3.804,4.149,3.978
2011-05-16,3.974,3.812,4.117,3.968
2011-05-23,3.817,3.703,4.036,3.852
2011-05-30,3.801,3.623,3.98,3.801
2011-06-06,3.859,3.585,3.931,3.792
2011-06-13,3.725,3.557,3.886,3.723
2011-06-20,3.616,3.508,3.849,3.658
2011-06-27,3.494,3.443,3.793,3.577
2011-07-04,3.595,3.413,3.745,3.584
2011-07-11,3.67,3.503,3.73,3.634
2011-07-18,3.693,3.562,3.746,3.667
2011-07-25,3.694,3.594,3.756,3.681
2011-08-01,3.717,3.6,3.754,3.69
2011-08-08,3.666,3.558,3.745,3.656
2011-08-15,3.583,3.5,3.694,3.592
2011-08-22,3.57,3.473,3.691,3.578
2011-08-29,3.673,3.487,3.749,3.636
2011-09-05,3.711,3.513,3.864,3.696
2011-09-12,3.683,3.492,3.868,3.681
2011-09-19,3.575,3.429,3.856,3.62
2011-09-26,3.432,3.336,3.827,3.532
2011-10-03,3.323,3.268,3.777,3.456
2011-10-10,3.336,3.241,3.754,3.444
2011-10-17,3.414,3.313,3.791,3.506
2011-10-24,3.361,3.31,3.792,3.488
2011-10-31,3.384,3.269,3.776,3.476
2011-11-07,3.339,3.235,3.772,3.449
2011-11-14,3.376,3.239,3.759,3.458
2011-11-21,3.271,3.172,3.708,3.384
2011-11-28,3.189,3.125,3.648,3.321
2011-12-05,3.213,3.097,3.591,3.3
2011-12-12,3.227,3.093,3.548,3.289
2011-12-19,3.147,3.048,3.49,3.228
2011-12-26,3.231,3.055,3.503,3.263
2012-01-02,3.268,3.105,3.546,3.306
2012-01-09,3.356,3.203,3.605,3.388
2012-01-16,3.362,3.213,3.607,3.394
2012-01-23,3.307,3.227,3.623,3.386
2012-01-30,3.349,3.29,3.65,3.43
2012-02-06,3.411,3.357,3.669,3.479
2012-02-13,3.407,3.419,3.727,3.518
2012-02-20,3.464,3.473,3.896,3.611
2012-02-27,3.623,3.552,4.124,3.766
2012-03-05,3.745,3.601,4.196,3.847
2012-03-12,3.809,3.618,4.218,3.882
2012-03-19,3.84,3.672,4.234,3.915
2012-03-26,3.899,3.733,4.242,3.958
2012-04-02,3.905,3.776,4.231,3.971
2012-04-09,3.86,3.805,4.203,3.956
2012-04-16,3.854,3.791,4.171,3.939
2012-04-23,3.774,3.739,4.143,3.885
2012-04-30,3.749,3.677,4.121,3.849
2012-05-07,3.721,3.615,4.135,3.824
2012-05-14,3.641,3.548,4.255,3.815
2012-05-21,3.626,3.481,4.242,3.783
2012-05-28,3.591,3.41,4.227,3.743
2012-06-04,3.519,3.363,4.185,3.689
2012-06-11,3.539,3.308,4.093,3.647
2012-06-18,3.561,3.267,3.964,3.597
2012-06-25,3.431,3.191,3.823,3.482
2012-07-02,3.323,3.117,3.715,3.385
2012-07-09,3.442,3.15,3.672,3.421
2012-07-16,3.42,3.181,3.674,3.425
2012-07-23,3.482,3.273,3.715,3.49
2012-07-30,3.515,3.298,3.708,3.507
2012-08-06,3.772,3.406,3.758,3.645
2012-08-13,3.788,3.482,3.948,3.739
2012-08-20,3.761,3.544,4.002,3.769
2012-08-27,3.778,3.591,4.04,3.803
2012-09-03,3.875,3.642,4.073,3.863
2012-09-10,3.86,3.642,4.083,3.862
2012-09-17,3.893,3.663,4.074,3.877
2012-09-24,3.813,3.606,4.065,3.828
2012-10-01,3.784,3.567,4.081,3.811
2012-10-08,3.772,3.542,4.409,3.908
2012-10-15,3.685,3.553,4.391,3.876
2012-10-22,3.487,3.456,4.245,3.729
2012-10-29,3.391,3.348,4.045,3.595
2012-11-05,3.323,3.285,3.899,3.502
2012-11-12,3.331,3.222,3.783,3.445
2012-11-19,3.344,3.182,3.707,3.411
2012-11-26,3.387,3.192,3.668,3.416
2012-12-03,3.32,3.178,3.615,3.371
2012-12-10,3.284,3.136,3.544,3.321
2012-12-17,3.144,3.059,3.457,3.22
2012-12-24,3.173,3.063,3.427,3.221
2012-12-31,3.221,3.112,3.457,3.263
