date,ur_nation,ur_WI,ur_TX,ur_CA,ur_ALL_avg
2011-01-01,9.1,7.8,8.2,12.1,9.4
2011-02-01,9.0,7.7,8.2,12.0,9.3
2011-03-01,9.0,7.6,8.1,11.9,9.2
2011-04-01,9.1,7.6,8.1,11.9,9.2
2011-05-01,9.0,7.6,8.2,11.9,9.2
2011-06-01,9.1,7.7,8.3,11.9,9.3
2011-07-01,9.0,7.7,8.4,11.8,9.3
2011-08-01,9.0,7.6,8.2,11.8,9.2
2011-09-01,9.0,7.5,8.1,11.6,9.1
2011-10-01,8.8,7.4,7.8,11.5,8.9
2011-11-01,8.6,7.3,7.5,11.3,8.7
2011-12-01,8.5,7.1,7.3,11.1,8.5
2012-01-01,8.3,7.0,7.1,11.0,8.4
2012-02-01,8.3,6.9,7.0,10.9,8.3
2012-03-01,8.2,6.9,6.7,10.8,8.1
2012-04-01,8.2,7.0,6.8,10.7,8.2
2012-05-01,8.2,7.0,6.8,10.7,8.2
2012-06-01,8.2,7.0,6.8,10.5,8.1
2012-07-01,8.2,7.0,6.7,10.4,8.0
2012-08-01,8.1,6.9,6.6,10.2,7.9
2012-09-01,7.8,6.8,6.5,10.1,7.8
2012-10-01,7.8,6.8,6.5,9.9,7.7
2012-11-01,7.7,6.8,6.5,9.8,7.7
2012-12-01,7.9,6.9,6.5,9.7,7.7
2013-01-01,8.0,6.9,6.5,9.6,7.7
2013-02-01,7.7,7.0,6.6,9.5,7.7
2013-03-01,7.5,7.0,6.6,9.4,7.7
2013-04-01,7.6,6.9,6.5,9.3,7.6
2013-05-01,7.5,6.8,6.5,9.2,7.5
2013-06-01,7.5,6.7,6.4,9.1,7.4
2013-07-01,7.3,6.7,6.3,9.0,7.3
2013-08-01,7.2,6.6,6.3,8.9,7.3
2013-09-01,7.2,6.5,6.2,8.8,7.2
2013-10-01,7.2,6.4,6.1,8.6,7.0
2013-11-01,6.9,6.3,6.0,8.5,6.9
2013-12-01,6.7,6.2,5.8,8.4,6.8
2014-01-01,6.6,6.0,5.7,8.2,6.6
2014-02-01,6.7,5.9,5.6,8.1,6.5
2014-03-01,6.7,5.7,5.5,8.0,6.4
2014-04-01,6.2,5.6,5.4,7.8,6.3
2014-05-01,6.3,5.5,5.3,7.7,6.2
2014-06-01,6.1,5.4,5.2,7.6,6.1
2014-07-01,6.2,5.3,5.2,7.5,6.0
2014-08-01,6.1,5.2,5.1,7.4,5.9
2014-09-01,5.9,5.1,5.0,7.3,5.8
2014-10-01,5.7,5.0,4.9,7.2,5.7
2014-11-01,5.8,4.9,4.7,7.1,5.6
2014-12-01,5.6,4.8,4.6,6.9,5.4
2015-01-01,5.7,4.7,4.5,6.8,5.3
2015-02-01,5.5,4.7,4.5,6.7,5.3
2015-03-01,5.4,4.6,4.5,6.6,5.2
2015-04-01,5.4,4.6,4.4,6.5,5.2
2015-05-01,5.6,4.5,4.4,6.4,5.1
2015-06-01,5.3,4.4,4.4,6.3,5.0
2015-07-01,5.2,4.3,4.4,6.1,4.9
2015-08-01,5.1,4.3,4.5,6.0,4.9
2015-09-01,5.0,4.3,4.5,5.9,4.9
2015-10-01,5.0,4.2,4.5,5.8,4.8
2015-11-01,5.1,4.2,4.5,5.8,4.8
2015-12-01,5.0,4.2,4.5,5.7,4.8
2016-01-01,4.8,4.2,4.5,5.7,4.8
2016-02-01,4.9,4.1,4.5,5.6,4.7
2016-03-01,5.0,4.1,4.5,5.6,4.7
2016-04-01,5.1,4.0,4.5,5.5,4.7
2016-05-01,4.8,4.0,4.6,5.5,4.7
2016-06-01,4.9,3.9,4.7,5.5,4.7
2016-07-01,4.8,3.9,4.7,5.5,4.7
