date,cpi_CA_SF
2010-02-01,226.145
2010-03-01,
2010-04-01,227.697
2010-05-01,
2010-06-01,228.110
2010-07-01,
2010-08-01,227.954
2010-09-01,
2010-10-01,228.107
2010-11-01,
2010-12-01,227.658
2011-01-01,
2011-02-01,229.981
2011-03-01,
2011-04-01,234.121
2011-05-01,
2011-06-01,233.646
2011-07-01,
2011-08-01,234.608
2011-09-01,
2011-10-01,235.331
2011-11-01,
2011-12-01,234.327
2012-01-01,
2012-02-01,236.880
2012-03-01,
2012-04-01,238.985
2012-05-01,
2012-06-01,239.806
2012-07-01,
2012-08-01,241.170
2012-09-01,
2012-10-01,242.834
2012-11-01,
2012-12-01,239.533
2013-01-01,
2013-02-01,242.677
2013-03-01,
2013-04-01,244.675
2013-05-01,
2013-06-01,245.935
2013-07-01,
2013-08-01,246.072
2013-09-01,
2013-10-01,246.617
2013-11-01,
2013-12-01,245.711
2014-01-01,
2014-02-01,248.615
2014-03-01,
2014-04-01,251.495
2014-05-01,
2014-06-01,253.317
2014-07-01,
2014-08-01,253.354
2014-09-01,
2014-10-01,254.503
2014-11-01,
2014-12-01,252.273
2015-01-01,
2015-02-01,254.910
2015-03-01,
2015-04-01,257.622
2015-05-01,
2015-06-01,259.117
2015-07-01,
2015-08-01,259.917
2015-09-01,
2015-10-01,261.019
2015-11-01,
2015-12-01,260.289
2016-01-01,
2016-02-01,262.600
2016-03-01,
2016-04-01,264.565
2016-05-01,
2016-06-01,266.041
2016-07-01,
