date,cpi_TX_DAL
2010-01-01,202.106
2010-02-01,
2010-03-01,201.982
2010-04-01,
2010-05-01,202.108
2010-06-01,
2010-07-01,200.227
2010-08-01,
2010-09-01,201.882
2010-10-01,
2010-11-01,201.168
2010-12-01,
2011-01-01,203.199
2011-02-01,
2011-03-01,206.967
2011-04-01,
2011-05-01,208.794
2011-06-01,
2011-07-01,208.602
2011-08-01,
2011-09-01,209.255
2011-10-01,
2011-11-01,209.283
2011-12-01,
2012-01-01,209.203
2012-02-01,
2012-03-01,212.618
2012-04-01,
2012-05-01,212.226
2012-06-01,
2012-07-01,211.267
2012-08-01,
2012-09-01,214.033
2012-10-01,
2012-11-01,212.901
2012-12-01,
2013-01-01,213.696
2013-02-01,
2013-03-01,216.465
2013-04-01,
2013-05-01,215.670
2013-06-01,
2013-07-01,216.979
2013-08-01,
2013-09-01,217.068
2013-10-01,
2013-11-01,215.450
2013-12-01,
2014-01-01,216.291
2014-02-01,
2014-03-01,218.715
2014-04-01,
2014-05-01,219.590
2014-06-01,
2014-07-01,219.543
2014-08-01,
2014-09-01,219.380
2014-10-01,
2014-11-01,217.188
2014-12-01,
2015-01-01,214.899
2015-02-01,
2015-03-01,217.487
2015-04-01,
2015-05-01,218.484
2015-06-01,
2015-07-01,218.676
2015-08-01,
2015-09-01,217.507
2015-10-01,
2015-11-01,217.104
2015-12-01,
2016-01-01,217.164
2016-02-01,
2016-03-01,218.877
2016-04-01,
2016-05-01,220.717
2016-06-01,
2016-07-01,221.507
