date,cpi_TX_HOU
2010-02-01,192.412
2010-03-01,
2010-04-01,194.037
2010-05-01,
2010-06-01,194.734
2010-07-01,
2010-08-01,195.165
2010-09-01,
2010-10-01,195.094
2010-11-01,
2010-12-01,194.479
2011-01-01,
2011-02-01,197.224
2011-03-01,
2011-04-01,201.624
2011-05-01,
2011-06-01,201.309
2011-07-01,
2011-08-01,202.445
2011-09-01,
2011-10-01,201.398
2011-11-01,
2011-12-01,200.477
2012-01-01,
2012-02-01,204.291
2012-03-01,
2012-04-01,206.088
2012-05-01,
2012-06-01,204.829
2012-07-01,
2012-08-01,203.959
2012-09-01,
2012-10-01,204.139
2012-11-01,
2012-12-01,202.477
2013-01-01,
2013-02-01,205.716
2013-03-01,
2013-04-01,207.506
2013-05-01,
2013-06-01,207.882
2013-07-01,
2013-08-01,208.575
2013-09-01,
2013-10-01,207.788
2013-11-01,
2013-12-01,209.814
2014-01-01,
2014-02-01,211.745
2014-03-01,
2014-04-01,213.309
2014-05-01,
2014-06-01,214.668
2014-07-01,
2014-08-01,214.102
2014-09-01,
2014-10-01,214.791
2014-11-01,
2014-12-01,212.169
2015-01-01,
2015-02-01,210.283
2015-03-01,
2015-04-01,212.439
2015-05-01,
2015-06-01,213.896
2015-07-01,
2015-08-01,214.652
2015-09-01,
2015-10-01,214.569
2015-11-01,
2015-12-01,212.936
2016-01-01,
2016-02-01,214.505
2016-03-01,
2016-04-01,215.513
2016-05-01,
2016-06-01,217.305
2016-07-01,
