date,cpi_WI_CHI
2010-01-01,212.104
2010-02-01,212.456
2010-03-01,212.952
2010-04-01,212.929
2010-05-01,212.984
2010-06-01,212.186
2010-07-01,212.535
2010-08-01,212.784
2010-09-01,213.339
2010-10-01,213.332
2010-11-01,213.066
2010-12-01,213.778
2011-01-01,215.155
2011-02-01,216.192
2011-03-01,217.880
2011-04-01,218.762
2011-05-01,220.094
2011-06-01,220.182
2011-07-01,219.277
2011-08-01,219.688
2011-09-01,220.027
2011-10-01,219.592
2011-11-01,219.181
2011-12-01,218.180
2012-01-01,219.585
2012-02-01,219.626
2012-03-01,222.351
2012-04-01,222.416
2012-05-01,222.262
2012-06-01,222.138
2012-07-01,221.611
2012-08-01,222.967
2012-09-01,223.611
2012-10-01,223.227
2012-11-01,222.425
2012-12-01,221.838
2013-01-01,222.251
2013-02-01,224.681
2013-03-01,224.433
2013-04-01,224.522
2013-05-01,225.645
2013-06-01,225.864
2013-07-01,225.375
2013-08-01,225.525
2013-09-01,225.161
2013-10-01,224.422
2013-11-01,223.703
2013-12-01,222.960
2014-01-01,225.027
2014-02-01,226.217
2014-03-01,228.784
2014-04-01,229.848
2014-05-01,229.612
2014-06-01,230.477
2014-07-01,229.633
2014-08-01,229.753
2014-09-01,229.829
2014-10-01,228.987
2014-11-01,227.184
2014-12-01,226.262
2015-01-01,225.852
2015-02-01,225.763
2015-03-01,227.405
2015-04-01,227.704
2015-05-01,228.494
2015-06-01,228.837
2015-07-01,228.588
2015-08-01,229.527
2015-09-01,228.826
2015-10-01,228.600
2015-11-01,227.641
2015-12-01,226.271
2016-01-01,227.977
2016-02-01,227.438
2016-03-01,227.778
2016-04-01,229.197
2016-05-01,229.247
2016-06-01,230.341
2016-07-01,228.454
