date,cpi_NATION
2011-01-01,221.187
2011-02-01,221.898
2011-03-01,223.046
2011-04-01,224.093
2011-05-01,224.806
2011-06-01,224.806
2011-07-01,225.395
2011-08-01,226.106
2011-09-01,226.597
2011-10-01,226.750
2011-11-01,227.169
2011-12-01,227.223
2012-01-01,227.842
2012-02-01,228.329
2012-03-01,228.807
2012-04-01,229.187
2012-05-01,228.713
2012-06-01,228.524
2012-07-01,228.590
2012-08-01,229.918
2012-09-01,231.015
2012-10-01,231.638
2012-11-01,231.249
2012-12-01,231.221
2013-01-01,231.679
2013-02-01,232.937
2013-03-01,232.282
2013-04-01,231.797
2013-05-01,231.893
2013-06-01,232.445
2013-07-01,232.900
2013-08-01,233.456
2013-09-01,233.544
2013-10-01,233.669
2013-11-01,234.100
2013-12-01,234.719
2014-01-01,235.288
2014-02-01,235.547
2014-03-01,236.028
2014-04-01,236.468
2014-05-01,236.918
2014-06-01,237.231
2014-07-01,237.498
2014-08-01,237.460
2014-09-01,237.477
2014-10-01,237.430
2014-11-01,236.983
2014-12-01,236.252
2015-01-01,234.747
2015-02-01,235.342
2015-03-01,235.976
2015-04-01,236.222
2015-05-01,237.001
2015-06-01,237.657
2015-07-01,238.034
2015-08-01,238.033
2015-09-01,237.498
2015-10-01,237.733
2015-11-01,238.017
2015-12-01,237.761
2016-01-01,237.652
2016-02-01,237.336
2016-03-01,238.080
2016-04-01,238.992
2016-05-01,239.557
2016-06-01,240.222
2016-07-01,240.101
