observation_date,GASREGCOVGCW
2011-01-03,2.933
2011-01-10,2.944
2011-01-17,2.961
2011-01-24,2.975
2011-01-31,2.948
2011-02-07,2.987
2011-02-14,3.008
2011-02-21,3.041
2011-02-28,3.255
2011-03-07,3.405
2011-03-14,3.438
2011-03-21,3.424
2011-03-28,3.459
2011-04-04,3.537
2011-04-11,3.656
2011-04-18,3.713
2011-04-25,3.712
2011-05-02,3.791
2011-05-09,3.804
2011-05-16,3.812
2011-05-23,3.703
2011-05-30,3.623
2011-06-06,3.585
2011-06-13,3.557
2011-06-20,3.508
2011-06-27,3.443
2011-07-04,3.413
2011-07-11,3.503
2011-07-18,3.562
2011-07-25,3.594
2011-08-01,3.600
2011-08-08,3.558
2011-08-15,3.500
2011-08-22,3.473
2011-08-29,3.487
2011-09-05,3.513
2011-09-12,3.492
2011-09-19,3.429
2011-09-26,3.336
2011-10-03,3.268
2011-10-10,3.241
2011-10-17,3.313
2011-10-24,3.310
2011-10-31,3.269
2011-11-07,3.235
2011-11-14,3.239
2011-11-21,3.172
2011-11-28,3.125
2011-12-05,3.097
2011-12-12,3.093
2011-12-19,3.048
2011-12-26,3.055
2012-01-02,3.105
2012-01-09,3.203
2012-01-16,3.213
2012-01-23,3.227
2012-01-30,3.290
2012-02-06,3.357
2012-02-13,3.419
2012-02-20,3.473
2012-02-27,3.552
2012-03-05,3.601
2012-03-12,3.618
2012-03-19,3.672
2012-03-26,3.733
2012-04-02,3.776
2012-04-09,3.805
2012-04-16,3.791
2012-04-23,3.739
2012-04-30,3.677
2012-05-07,3.615
2012-05-14,3.548
2012-05-21,3.481
2012-05-28,3.410
2012-06-04,3.363
2012-06-11,3.308
2012-06-18,3.267
2012-06-25,3.191
2012-07-02,3.117
2012-07-09,3.150
2012-07-16,3.181
2012-07-23,3.273
2012-07-30,3.298
2012-08-06,3.406
2012-08-13,3.482
2012-08-20,3.544
2012-08-27,3.591
2012-09-03,3.642
2012-09-10,3.642
2012-09-17,3.663
2012-09-24,3.606
2012-10-01,3.567
2012-10-08,3.542
2012-10-15,3.553
2012-10-22,3.456
2012-10-29,3.348
2012-11-05,3.285
2012-11-12,3.222
2012-11-19,3.182
2012-11-26,3.192
2012-12-03,3.178
2012-12-10,3.136
2012-12-17,3.059
2012-12-24,3.063
2012-12-31,3.112
2013-01-07,3.159
2013-01-14,3.158
2013-01-21,3.147
2013-01-28,3.156
2013-02-04,3.326
2013-02-11,3.378
2013-02-18,3.536
2013-02-25,3.615
2013-03-04,3.570
2013-03-11,3.537
2013-03-18,3.512
2013-03-25,3.479
2013-04-01,3.460
2013-04-08,3.417
2013-04-15,3.348
2013-04-22,3.307
2013-04-29,3.281
2013-05-06,3.284
2013-05-13,3.359
2013-05-20,3.377
2013-05-27,3.356
2013-06-03,3.331
2013-06-10,3.332
2013-06-17,3.374
2013-06-24,3.359
2013-07-01,3.296
