observation_date,GASREGMWW
2011-01-03,3.064
2011-01-10,3.084
2011-01-17,3.089
2011-01-24,3.087
2011-01-31,3.086
2011-02-07,3.124
2011-02-14,3.090
2011-02-21,3.140
2011-02-28,3.367
2011-03-07,3.487
2011-03-14,3.525
2011-03-21,3.517
2011-03-28,3.550
2011-04-04,3.681
2011-04-11,3.805
2011-04-18,3.847
2011-04-25,3.901
2011-05-02,4.010
2011-05-09,3.982
2011-05-16,3.974
2011-05-23,3.817
2011-05-30,3.801
2011-06-06,3.859
2011-06-13,3.725
2011-06-20,3.616
2011-06-27,3.494
2011-07-04,3.595
2011-07-11,3.670
2011-07-18,3.693
2011-07-25,3.694
2011-08-01,3.717
2011-08-08,3.666
2011-08-15,3.583
2011-08-22,3.570
2011-08-29,3.673
2011-09-05,3.711
2011-09-12,3.683
2011-09-19,3.575
2011-09-26,3.432
2011-10-03,3.323
2011-10-10,3.336
2011-10-17,3.414
2011-10-24,3.361
2011-10-31,3.384
2011-11-07,3.339
2011-11-14,3.376
2011-11-21,3.271
2011-11-28,3.189
2011-12-05,3.213
2011-12-12,3.227
2011-12-19,3.147
2011-12-26,3.231
2012-01-02,3.268
2012-01-09,3.356
2012-01-16,3.362
2012-01-23,3.307
2012-01-30,3.349
2012-02-06,3.411
2012-02-13,3.407
2012-02-20,3.464
2012-02-27,3.623
2012-03-05,3.745
2012-03-12,3.809
2012-03-19,3.840
2012-03-26,3.899
2012-04-02,3.905
2012-04-09,3.860
2012-04-16,3.854
2012-04-23,3.774
2012-04-30,3.749
2012-05-07,3.721
2012-05-14,3.641
2012-05-21,3.626
2012-05-28,3.591
2012-06-04,3.519
2012-06-11,3.539
2012-06-18,3.561
2012-06-25,3.431
2012-07-02,3.323
2012-07-09,3.442
2012-07-16,3.420
2012-07-23,3.482
2012-07-30,3.515
2012-08-06,3.772
2012-08-13,3.788
2012-08-20,3.761
2012-08-27,3.778
2012-09-03,3.875
2012-09-10,3.860
2012-09-17,3.893
2012-09-24,3.813
2012-10-01,3.784
2012-10-08,3.772
2012-10-15,3.685
2012-10-22,3.487
2012-10-29,3.391
2012-11-05,3.323
2012-11-12,3.331
2012-11-19,3.344
2012-11-26,3.387
2012-12-03,3.320
2012-12-10,3.284
2012-12-17,3.144
2012-12-24,3.173
2012-12-31,3.221
2013-01-07,3.143
2013-01-14,3.156
2013-01-21,3.224
2013-01-28,3.289
2013-02-04,3.513
2013-02-11,3.582
2013-02-18,3.763
2013-02-25,3.735
2013-03-04,3.709
2013-03-11,3.618
2013-03-18,3.645
2013-03-25,3.657
2013-04-01,3.597
2013-04-08,3.553
2013-04-15,3.456
2013-04-22,3.546
2013-04-29,3.554
2013-05-06,3.608
2013-05-13,3.678
2013-05-20,3.866
2013-05-27,3.779
2013-06-03,3.838
2013-06-10,3.868
2013-06-17,3.738
2013-06-24,3.546
2013-07-01,3.394
2013-07-08,3.409
2013-07-15,3.639
2013-07-22,3.660
2013-07-29,3.575
2013-08-05,3.589
2013-08-12,3.478
2013-08-19,3.501
2013-08-26,3.524
2013-09-02,3.633
2013-09-09,3.574
2013-09-16,3.489
2013-09-23,3.456
2013-09-30,3.348
2013-10-07,3.275
2013-10-14,3.295
2013-10-21,3.314
2013-10-28,3.198
2013-11-04,3.188
2013-11-11,3.074
2013-11-18,3.126
2013-11-25,3.191
2013-12-02,3.121
2013-12-09,3.132
2013-12-16,3.079
2013-12-23,3.160
2013-12-30,3.264
2014-01-06,3.222
2014-01-13,3.253
2014-01-20,3.200
2014-01-27,3.219
2014-02-03,3.233
2014-02-10,3.282
2014-02-17,3.357
2014-02-24,3.439
2014-03-03,3.496
2014-03-10,3.538
2014-03-17,3.574
2014-03-24,3.551
2014-03-31,3.589
2014-04-07,3.578
2014-04-14,3.633
2014-04-21,3.640
2014-04-28,3.662
2014-05-05,3.595
2014-05-12,3.596
2014-05-19,3.611
2014-05-26,3.651
2014-06-02,3.713
2014-06-09,3.692
2014-06-16,3.714
2014-06-23,3.693
2014-06-30,3.671
2014-07-07,3.614
2014-07-14,3.539
2014-07-21,3.497
2014-07-28,3.409
2014-08-04,3.416
2014-08-11,3.451
2014-08-18,3.395
2014-08-25,3.397
2014-09-01,3.432
2014-09-08,3.438
2014-09-15,3.357
2014-09-22,3.275
2014-09-29,3.299
2014-10-06,3.195
2014-10-13,3.084
2014-10-20,3.028
2014-10-27,3.017
2014-11-03,2.959
2014-11-10,2.906
2014-11-17,2.856
2014-11-24,2.762
2014-12-01,2.715
2014-12-08,2.586
2014-12-15,2.417
2014-12-22,2.224
2014-12-29,2.088
2015-01-05,1.974
2015-01-12,1.950
2015-01-19,1.918
2015-01-26,1.936
2015-02-02,2.029
2015-02-09,2.166
2015-02-16,2.237
2015-02-23,2.274
2015-03-02,2.378
2015-03-09,2.339
2015-03-16,2.285
2015-03-23,2.391
2015-03-30,2.378
2015-04-06,2.312
2015-04-13,2.303
2015-04-20,2.397
2015-04-27,2.439
2015-05-04,2.499
2015-05-11,2.508
2015-05-18,2.597
2015-05-25,2.655
2015-06-01,2.694
2015-06-08,2.677
2015-06-15,2.794
2015-06-22,2.743
2015-06-29,2.736
2015-07-06,2.736
2015-07-13,2.721
2015-07-20,2.671
2015-07-27,2.583
2015-08-03,2.518
2015-08-10,2.474
2015-08-17,2.790
2015-08-24,2.669
2015-08-31,2.468
2015-09-07,2.345
2015-09-14,2.280
2015-09-21,2.271
2015-09-28,2.325
2015-10-05,2.352
2015-10-12,2.405
2015-10-19,2.300
2015-10-26,2.228
2015-11-02,2.268
2015-11-09,2.215
2015-11-16,2.085
2015-11-23,1.935
2015-11-30,1.877
2015-12-07,1.890
2015-12-14,1.901
2015-12-21,1.846
2015-12-28,1.873
2016-01-04,1.860
2016-01-11,1.821
2016-01-18,1.712
2016-01-25,1.630
2016-02-01,1.622
2016-02-08,1.518
2016-02-15,1.522
2016-02-22,1.609
2016-02-29,1.722
2016-03-07,1.815
2016-03-14,1.929
2016-03-21,1.939
2016-03-28,1.957
2016-04-04,1.988
2016-04-11,1.965
2016-04-18,2.057
2016-04-25,2.097
2016-05-02,2.183
2016-05-09,2.116
2016-05-16,2.178
2016-05-23,2.280
2016-05-30,2.340
2016-06-06,2.409
2016-06-13,2.466
2016-06-20,2.370
2016-06-27,2.291
