observation_date,APU000074714
2011-01-01,3.091
2011-02-01,3.167
2011-03-01,3.546
2011-04-01,3.816
2011-05-01,3.933
2011-06-01,3.702
2011-07-01,3.654
2011-08-01,3.630
2011-09-01,3.612
2011-10-01,3.468
2011-11-01,3.423
2011-12-01,3.278
2012-01-01,3.399
2012-02-01,3.572
2012-03-01,3.868
2012-04-01,3.927
2012-05-01,3.792
2012-06-01,3.552
2012-07-01,3.451
2012-08-01,3.707
2012-09-01,3.856
2012-10-01,3.786
2012-11-01,3.488
2012-12-01,3.331
2013-01-01,3.351
2013-02-01,3.693
2013-03-01,3.735
2013-04-01,3.590
2013-05-01,3.623
2013-06-01,3.633
2013-07-01,3.628
2013-08-01,3.600
2013-09-01,3.556
2013-10-01,3.375
2013-11-01,3.251
2013-12-01,3.277
2014-01-01,3.320
2014-02-01,3.364
2014-03-01,3.532
2014-04-01,3.659
2014-05-01,3.691
2014-06-01,3.695
2014-07-01,3.633
2014-08-01,3.481
2014-09-01,3.403
2014-10-01,3.182
2014-11-01,2.887
2014-12-01,2.560
2015-01-01,2.110
2015-02-01,2.249
2015-03-01,2.483
2015-04-01,2.485
2015-05-01,2.775
2015-06-01,2.832
2015-07-01,2.832
2015-08-01,2.679
2015-09-01,2.394
2015-10-01,2.289
2015-11-01,2.185
2015-12-01,2.060
2016-01-01,1.967
2016-02-01,1.767
2016-03-01,1.958
2016-04-01,2.134
2016-05-01,2.264
2016-06-01,2.363
2016-07-01,2.225
