feature,method,sub_method,sens_pct,dir_pct,dir_abs,var_pct
state_cpi_mom_delta,Saliency,base,20.95366,20.95366,0.00046813398,8.094521
state_ur_mom_delta,Saliency,base,17.090557,17.090557,0.0003818269,26.35072
state_gas_wow_delta,Saliency,base,13.171227,13.171227,0.0002942636,5.1143494
state_ur,Saliency,base,6.855212,6.855212,0.000153155,8.998888
day_of_week,Saliency,base,6.717046,6.717046,0.00015006817,4.0852256
item_category,Saliency,base,6.52456,6.52456,0.00014576777,10.304244
event_name_2,Saliency,base,5.316575,5.316575,0.000118779695,7.107532
consumer_sentiment,Saliency,base,3.647536,3.647536,8.1491045e-05,5.785677
sell_price,Saliency,base,3.4515429,3.4515429,7.711229e-05,2.9355767
event_type_2,Saliency,base,3.1250806,3.1250806,6.9818656e-05,3.415177
state_cpi,Saliency,base,2.7054234,2.7054234,6.044293e-05,3.2949502
state_gas_price,Saliency,base,2.4983606,2.4983606,5.5816865e-05,3.7514997
event_name_1,Saliency,base,1.9665984,1.9665984,4.3936554e-05,3.1772044
event_type_1,Saliency,base,1.7951052,1.7951052,4.0105155e-05,2.604986
month,Saliency,base,1.6738715,1.6738715,3.7396625e-05,2.3498487
day_of_month,Saliency,base,1.4390624,1.4390624,3.215066e-05,1.6424824
state_snap,Saliency,base,1.0685859,1.0685859,2.38737e-05,0.9871225
state_cpi_mom_delta,Saliency,baseNoCats,22.591269,22.591269,0.0004687348,9.0404415
state_ur_mom_delta,Saliency,baseNoCats,18.34539,18.34539,0.00038063922,29.500893
state_gas_wow_delta,Saliency,baseNoCats,14.17967,14.17967,0.0002942068,5.6463485
state_ur,Saliency,baseNoCats,7.3477306,7.3477306,0.00015245433,10.053435
day_of_week,Saliency,baseNoCats,7.048726,7.048726,0.00014625044,4.4011555
event_name_2,Saliency,baseNoCats,5.6749644,5.6749644,0.00011774697,7.9513884
consumer_sentiment,Saliency,baseNoCats,3.8975987,3.8975987,8.08693e-05,6.49246
sell_price,Saliency,baseNoCats,3.634121,3.634121,7.540253e-05,3.2624483
event_type_2,Saliency,baseNoCats,3.3452127,3.3452127,6.9408125e-05,3.8259864
state_cpi,Saliency,baseNoCats,2.8931131,2.8931131,6.0027738e-05,3.6778781
state_gas_price,Saliency,baseNoCats,2.665803,2.665803,5.5311397e-05,4.196373
event_name_1,Saliency,baseNoCats,2.0358877,2.0358877,4.22416e-05,3.4967513
event_type_1,Saliency,baseNoCats,1.9128423,1.9128423,3.9688595e-05,2.9195933
month,Saliency,baseNoCats,1.7987639,1.7987639,3.732164e-05,2.622027
day_of_month,Saliency,baseNoCats,1.5073054,1.5073054,3.1274314e-05,1.8216217
state_snap,Saliency,baseNoCats,1.1215987,1.1215987,2.3271483e-05,1.0911931
state_cpi_mom_delta,Saliency,FOODS,20.419119,20.419119,0.0004628133,8.246192
state_ur_mom_delta,Saliency,FOODS,17.292173,17.292173,0.00039193893,26.169374
state_gas_wow_delta,Saliency,FOODS,12.702866,12.702866,0.00028791913,5.2723994
state_ur,Saliency,FOODS,6.9910936,6.9910936,0.00015845791,8.85326
day_of_week,Saliency,FOODS,6.765584,6.765584,0.00015334658,4.310812
item_category,Saliency,FOODS,6.5250435,6.5250435,0.00014789456,10.461896
event_name_2,Saliency,FOODS,5.5377293,5.5377293,0.00012551642,7.077224
consumer_sentiment,Saliency,FOODS,3.8027208,3.8027208,8.619126e-05,5.719998
sell_price,Saliency,FOODS,3.431654,3.431654,7.778079e-05,2.8310804
event_type_2,Saliency,FOODS,3.2170396,3.2170396,7.29164e-05,3.4387686
state_cpi,Saliency,FOODS,2.7378194,2.7378194,6.205455e-05,3.2071605
state_gas_price,Saliency,FOODS,2.3957133,2.3957133,5.430048e-05,3.6620305
event_name_1,Saliency,FOODS,2.0722096,2.0722096,4.6968045e-05,3.240413
event_type_1,Saliency,FOODS,1.7930353,1.7930353,4.064037e-05,2.6485386
month,Saliency,FOODS,1.6636053,1.6636053,3.770675e-05,2.2966983
day_of_month,Saliency,FOODS,1.4335511,1.4335511,3.2492415e-05,1.565471
state_snap,Saliency,FOODS,1.2190423,1.2190423,2.7630427e-05,0.9986828
state_cpi_mom_delta,Saliency,HOBBIES,21.232615,21.232615,0.00046963667,8.108362
state_ur_mom_delta,Saliency,HOBBIES,17.158209,17.158209,0.00037951634,26.467022
state_gas_wow_delta,Saliency,HOBBIES,13.280601,13.280601,0.0002937489,5.039146
state_ur,Saliency,HOBBIES,6.857802,6.857802,0.0001516853,9.035329
day_of_week,Saliency,HOBBIES,6.5812683,6.5812683,0.00014556875,3.901316
item_category,Saliency,HOBBIES,6.467218,6.467218,0.0001430461,10.297335
event_name_2,Saliency,HOBBIES,5.286977,5.286977,0.00011694076,7.166951
consumer_sentiment,Saliency,HOBBIES,3.6214185,3.6214185,8.010087e-05,5.8244877
sell_price,Saliency,HOBBIES,3.3855062,3.3855062,7.488281e-05,2.942758
event_type_2,Saliency,HOBBIES,3.1097798,3.1097798,6.878412e-05,3.422728
state_cpi,Saliency,HOBBIES,2.6995833,2.6995833,5.971113e-05,3.3113534
state_gas_price,Saliency,HOBBIES,2.5064883,2.5064883,5.544013e-05,3.7718635
event_name_1,Saliency,HOBBIES,1.8917644,1.8917644,4.184327e-05,3.1232922
event_type_1,Saliency,HOBBIES,1.7911414,1.7911414,3.9617622e-05,2.6074479
month,Saliency,HOBBIES,1.6835786,1.6835786,3.723848e-05,2.358498
day_of_month,Saliency,HOBBIES,1.4126567,1.4126567,3.124605e-05,1.6468306
state_snap,Saliency,HOBBIES,1.0333896,1.0333896,2.2857177e-05,0.97527635
state_cpi_mom_delta,Saliency,HOUSEHOLD,21.629946,21.629946,0.0004770861,7.8783417
state_ur_mom_delta,Saliency,HOUSEHOLD,16.795525,16.795525,0.00037045454,26.540937
state_gas_wow_delta,Saliency,HOUSEHOLD,13.735689,13.735689,0.00030296453,4.9110827
day_of_week,Saliency,HOUSEHOLD,6.723209,6.723209,0.00014829206,3.8092003
state_ur,Saliency,HOUSEHOLD,6.643776,6.643776,0.00014654004,9.196167
item_category,Saliency,HOUSEHOLD,6.533367,6.533367,0.00014410478,10.04075
event_name_2,Saliency,HOUSEHOLD,5.0153284,5.0153284,0.000110621804,7.1489153
sell_price,Saliency,HOUSEHOLD,3.520208,3.520208,7.764431e-05,3.1113312
consumer_sentiment,Saliency,HOUSEHOLD,3.4401808,3.4401808,7.587917e-05,5.8904343
event_type_2,Saliency,HOUSEHOLD,3.0002344,3.0002344,6.617539e-05,3.3764052
state_cpi,Saliency,HOUSEHOLD,2.65512,2.65512,5.856329e-05,3.4236345
state_gas_price,Saliency,HOUSEHOLD,2.6328864,2.6328864,5.8072892e-05,3.8802426
event_name_1,Saliency,HOUSEHOLD,1.8540329,1.8540329,4.089392e-05,3.0941901
event_type_1,Saliency,HOUSEHOLD,1.7988646,1.7988646,3.9677092e-05,2.5373485
month,Saliency,HOUSEHOLD,1.6818683,1.6818683,3.7096535e-05,2.43841
day_of_month,Saliency,HOUSEHOLD,1.4647859,1.4647859,3.2308402e-05,1.7640355
state_snap,Saliency,HOUSEHOLD,0.87498397,0.87498397,1.9299296e-05,0.95858014
day_of_week,SmoothGrad,base,15.956457,15.956457,0.00044871678,15.111056
state_cpi_mom_delta,SmoothGrad,base,15.012085,15.012085,0.0004221598,7.021965
state_ur_mom_delta,SmoothGrad,base,13.722478,13.722478,0.00038589432,22.512796
state_gas_wow_delta,SmoothGrad,base,9.465797,9.465797,0.0002661908,4.034485
sell_price,SmoothGrad,base,6.6018863,6.6018863,0.00018565383,2.467507
state_ur,SmoothGrad,base,5.6777344,5.6777344,0.00015966543,7.5257382
item_category,SmoothGrad,base,5.5103073,5.5103073,0.00015495718,9.05902
event_name_2,SmoothGrad,base,4.9891543,4.9891543,0.00014030165,5.7531195
consumer_sentiment,SmoothGrad,base,3.9478421,3.9478421,0.00011101857,4.5144444
event_type_2,SmoothGrad,base,3.0234892,3.0234892,8.5024534e-05,3.3473604
event_type_1,SmoothGrad,base,2.7562912,2.7562912,7.751057e-05,3.8722844
day_of_month,SmoothGrad,base,2.6015582,2.6015582,7.315927e-05,1.8156054
event_name_1,SmoothGrad,base,2.553719,2.553719,7.181398e-05,3.5852995
state_cpi,SmoothGrad,base,2.3923912,2.3923912,6.727722e-05,2.6297379
state_gas_price,SmoothGrad,base,2.3528116,2.3528116,6.616419e-05,3.0829818
state_snap,SmoothGrad,base,1.7674109,1.7674109,4.9701943e-05,1.6428341
month,SmoothGrad,base,1.668581,1.668581,4.6922716e-05,2.023769
day_of_week,SmoothGrad,baseNoCats,16.734177,16.734177,0.00044351176,16.656458
state_cpi_mom_delta,SmoothGrad,baseNoCats,16.033157,16.033157,0.00042493237,7.714061
state_ur_mom_delta,SmoothGrad,baseNoCats,14.577916,14.577916,0.00038636362,24.773737
state_gas_wow_delta,SmoothGrad,baseNoCats,10.020135,10.020135,0.00026556713,4.389539
sell_price,SmoothGrad,baseNoCats,7.0089436,7.0089436,0.00018576048,2.704637
state_ur,SmoothGrad,baseNoCats,6.0377173,6.0377173,0.00016001973,8.282002
event_name_2,SmoothGrad,baseNoCats,5.2782536,5.2782536,0.0001398914,6.3342085
consumer_sentiment,SmoothGrad,baseNoCats,4.184949,4.184949,0.00011091517,4.978002
event_type_2,SmoothGrad,baseNoCats,3.1781983,3.1781983,8.4232895e-05,3.6872401
event_type_1,SmoothGrad,baseNoCats,2.9003296,2.9003296,7.686845e-05,4.2597456
day_of_month,SmoothGrad,baseNoCats,2.7481203,2.7481203,7.2834395e-05,1.9896137
event_name_1,SmoothGrad,baseNoCats,2.6699307,2.6699307,7.076211e-05,3.9235785
state_cpi,SmoothGrad,baseNoCats,2.5328987,2.5328987,6.71303e-05,2.893363
state_gas_price,SmoothGrad,baseNoCats,2.4779863,2.4779863,6.567494e-05,3.3829172
state_snap,SmoothGrad,baseNoCats,1.8539628,1.8539628,4.9136226e-05,1.8081896
month,SmoothGrad,baseNoCats,1.7633246,1.7633246,4.673401e-05,2.222711
day_of_week,SmoothGrad,FOODS,16.14985,16.14985,0.00046841562,14.920719
state_cpi_mom_delta,SmoothGrad,FOODS,14.4222975,14.4222975,0.0004183091,7.086688
state_ur_mom_delta,SmoothGrad,FOODS,13.944065,13.944065,0.00040443832,22.433285
state_gas_wow_delta,SmoothGrad,FOODS,9.129991,9.129991,0.0002648093,4.174046
sell_price,SmoothGrad,FOODS,6.449099,6.449099,0.00018705182,2.4253535
state_ur,SmoothGrad,FOODS,5.8816943,5.8816943,0.00017059462,7.5878406
item_category,SmoothGrad,FOODS,5.682773,5.682773,0.00016482505,9.266483
event_name_2,SmoothGrad,FOODS,5.073437,5.073437,0.00014715166,5.7611036
consumer_sentiment,SmoothGrad,FOODS,3.953059,3.953059,0.000114655835,4.4779778
event_type_2,SmoothGrad,FOODS,3.0270598,3.0270598,8.7797845e-05,3.3498068
event_type_1,SmoothGrad,FOODS,2.7515113,2.7515113,7.980575e-05,3.8594105
day_of_month,SmoothGrad,FOODS,2.640796,2.640796,7.659452e-05,1.7455267
event_name_1,SmoothGrad,FOODS,2.6129806,2.6129806,7.578776e-05,3.5848439
state_cpi,SmoothGrad,FOODS,2.418073,2.418073,7.013459e-05,2.6122656
state_gas_price,SmoothGrad,FOODS,2.2916005,2.2916005,6.646634e-05,3.0573764
state_snap,SmoothGrad,FOODS,1.8933716,1.8933716,5.4915978e-05,1.6089586
month,SmoothGrad,FOODS,1.6783442,1.6783442,4.8679252e-05,2.0483284
day_of_week,SmoothGrad,HOBBIES,16.041643,16.041643,0.00045298878,14.863451
state_cpi_mom_delta,SmoothGrad,HOBBIES,14.861603,14.861603,0.00041966644,6.897001
state_ur_mom_delta,SmoothGrad,HOBBIES,13.743276,13.743276,0.00038808674,22.777061
