feature,method,sub_method,sens_pct,dir_pct,dir_abs,var_pct
event_name_2,Saliency,base,18.631046,18.631046,0.00034407197,13.846445
sell_price,Saliency,base,12.08219,12.08219,0.00022312986,11.249783
event_type_2,Saliency,base,8.971689,8.971689,0.00016568617,7.912226
state_cpi_mom_delta,Saliency,base,8.192049,8.192049,0.00015128804,7.532674
event_name_1,Saliency,base,7.5943274,7.5943274,0.00014024953,6.7333937
state_ur_mom_delta,Saliency,base,6.5420895,6.5420895,0.00012081714,7.5299315
event_type_1,Saliency,base,6.314682,6.314682,0.000116617455,6.1087837
consumer_sentiment,Saliency,base,3.7445004,3.7445004,6.915219e-05,4.9483852
state_cpi,Saliency,base,3.68982,3.68982,6.814237e-05,4.570383
month,Saliency,base,3.4501739,3.4501739,6.371667e-05,4.182188
day_of_month,Saliency,base,3.4226,3.4226,6.3207444e-05,3.8337986
day_of_week,Saliency,base,3.3764799,3.3764799,6.2355706e-05,4.204436
state_gas_wow_delta,Saliency,base,3.2437582,3.2437582,5.990465e-05,4.0403337
state_gas_price,Saliency,base,3.1130552,3.1130552,5.749087e-05,3.7519798
state_ur,Saliency,base,3.000151,3.000151,5.5405788e-05,3.8851044
state_snap,Saliency,base,2.6293705,2.6293705,4.855834e-05,3.1960905
item_category,Saliency,base,2.0020165,2.0020165,3.6972575e-05,2.4740622
event_name_2,Saliency,baseNoCats,19.022728,19.022728,0.0003442034,14.197628
sell_price,Saliency,baseNoCats,12.336321,12.336321,0.00022321739,11.537578
event_type_2,Saliency,baseNoCats,9.161802,9.161802,0.00016577663,8.112505
state_cpi_mom_delta,Saliency,baseNoCats,8.363493,8.363493,0.00015133175,7.73412
event_name_1,Saliency,baseNoCats,7.754799,7.754799,0.00014031785,6.899647
state_ur_mom_delta,Saliency,baseNoCats,6.674508,6.674508,0.00012077071,7.728312
event_type_1,Saliency,baseNoCats,6.4388657,6.4388657,0.00011650692,6.251991
consumer_sentiment,Saliency,baseNoCats,3.8196452,3.8196452,6.91139e-05,5.085819
state_cpi,Saliency,baseNoCats,3.7621784,3.7621784,6.807408e-05,4.6813183
month,Saliency,baseNoCats,3.5210311,3.5210311,6.371068e-05,4.2914305
