feature,method,sub_method,sens_pct,dir_pct,dir_abs,var_pct
state_snap,DeepLIFT,base,12.959663,13.108395,6.886471e-07,10.822905
day_of_week,DeepLIFT,base,11.340642,41.54048,2.1823216e-06,10.975739
month,DeepLIFT,base,10.787762,5.545503,2.91332e-07,9.355492
state_cpi,DeepLIFT,base,10.387815,7.6982327,4.0442524e-07,9.910491
day_of_month,DeepLIFT,base,9.688091,-8.18327,-4.299066e-07,8.401769
item_category,DeepLIFT,base,9.427276,10.141406,5.327769e-07,8.03611
state_ur,DeepLIFT,base,7.490786,7.099513,3.729716e-07,8.405994
state_gas_price,DeepLIFT,base,6.7808747,4.2287765,2.2215798e-07,6.492286
consumer_sentiment,DeepLIFT,base,6.6191697,2.3510008,1.235094e-07,8.6156645
event_type_1,DeepLIFT,base,5.7767906,21.847103,1.1477335e-06,7.8206234
event_name_1,DeepLIFT,base,5.662297,-25.858154,-1.3584535e-06,8.246089
sell_price,DeepLIFT,base,2.8686922,15.801404,8.3012384e-07,2.3359601
state_ur_mom_delta,DeepLIFT,base,0.1298464,3.6403809,1.9124674e-07,0.37636554
state_cpi_mom_delta,DeepLIFT,base,0.040496353,1.2046509,6.328611e-08,0.14605659
state_gas_wow_delta,DeepLIFT,base,0.039801437,-0.16543187,-8.690933e-09,0.05845236
event_name_2,DeepLIFT,base,0.0,0.0,0.0,0.0
event_type_2,DeepLIFT,base,0.0,0.0,0.0,0.0
state_snap,DeepLIFT,baseNoCats,14.328811,14.941135,7.1032395e-07,11.776619
day_of_week,DeepLIFT,baseNoCats,12.459733,46.374596,2.2047177e-06,11.8645
month,DeepLIFT,baseNoCats,11.905957,6.0850205,2.89291e-07,10.150267
state_cpi,DeepLIFT,baseNoCats,11.457753,8.698751,4.1355167e-07,10.750465
day_of_month,DeepLIFT,baseNoCats,10.712928,-8.847221,-4.2061018e-07,9.130874
state_ur,DeepLIFT,baseNoCats,8.278508,7.898026,3.7548398e-07,9.160727
state_gas_price,DeepLIFT,baseNoCats,7.498308,4.360942,2.073257e-07,7.0813904
consumer_sentiment,DeepLIFT,baseNoCats,7.317456,2.7586453,1.3115013e-07,9.39984
event_type_1,DeepLIFT,baseNoCats,6.3773065,24.219498,1.1514312e-06,8.490827
event_name_1,DeepLIFT,baseNoCats,6.258145,-28.693352,-1.364125e-06,8.955308
sell_price,DeepLIFT,baseNoCats,3.1722095,17.013525,8.088484e-07,2.5475159
state_ur_mom_delta,DeepLIFT,baseNoCats,0.14391907,4.040014,1.920683e-07,0.4508516
state_cpi_mom_delta,DeepLIFT,baseNoCats,0.04488113,1.3348198,6.345933e-08,0.17044121
state_gas_wow_delta,DeepLIFT,baseNoCats,0.044076934,-0.18439707,-8.766513e-09,0.07036582
event_name_2,DeepLIFT,baseNoCats,0.0,0.0,0.0,0.0
event_type_2,DeepLIFT,baseNoCats,0.0,0.0,0.0,0.0
state_snap,DeepLIFT,FOODS,12.848184,8.54468,7.1435096e-07,10.878491
