feature,model,method,sens_pct,sub_method,dir_pct,dir_abs,var_pct
item_category,LSTM,DeepLIFT,28.758919,base,31.202745,3.7e-06,32.811634
day_of_week,LSTM,DeepLIFT,21.027088,base,-1.409894,-1.67e-07,11.186664
state_ur,LSTM,DeepLIFT,15.814617,base,3.3670359,3.99e-07,17.962433
state_cpi,LSTM,DeepLIFT,7.102868,base,-5.5628953,-6.6e-07,6.950797
consumer_sentiment,LSTM,DeepLIFT,5.7673383,base,6.9331183,8.22e-07,8.8893175
state_gas_price,LSTM,DeepLIFT,4.86471,base,-7.0732517,-8.39e-07,5.9797716
month,LSTM,DeepLIFT,4.807304,base,-5.5280523,-6.55e-07,5.0301127
state_snap,LSTM,DeepLIFT,4.466481,base,49.178158,5.83e-06,2.7951279
day_of_month,LSTM,DeepLIFT,4.0061,base,31.252104,3.71e-06,3.5209477
event_type_1,LSTM,DeepLIFT,1.1505795,base,2.9298298,3.47e-07,1.1531763
event_name_1,LSTM,DeepLIFT,0.86391485,base,1.6925917,2.01e-07,1.2299752
sell_price,LSTM,DeepLIFT,0.80447596,base,1.6117798,1.91e-07,0.6984797
state_ur_mom_delta,LSTM,DeepLIFT,0.3169634,base,-5.3495073,-6.34e-07,1.3130082
state_gas_wow_delta,LSTM,DeepLIFT,0.15146293,base,-1.6506884,-1.96e-07,0.117605984
state_cpi_mom_delta,LSTM,DeepLIFT,0.097179286,base,-1.5930613,-1.89e-07,0.3609519
event_name_2,LSTM,DeepLIFT,0.0,base,0.0,0.0,0.0
event_type_2,LSTM,DeepLIFT,0.0,base,0.0,0.0,0.0
day_of_week,LSTM,DeepLIFT,29.251076,baseNoCats,-2.1666253,-1.75e-07,16.297771
state_ur,LSTM,DeepLIFT,22.428122,baseNoCats,4.839981,3.9e-07,26.936684
state_cpi,LSTM,DeepLIFT,10.044522,baseNoCats,-8.148144,-6.57e-07,10.423612
consumer_sentiment,LSTM,DeepLIFT,8.16035,baseNoCats,10.394748,8.39e-07,13.381349
state_gas_price,LSTM,DeepLIFT,6.8469257,baseNoCats,-10.334282,-8.34e-07,8.960873
month,LSTM,DeepLIFT,6.8372436,baseNoCats,-8.075044,-6.51e-07,7.5435905
state_snap,LSTM,DeepLIFT,6.20853,baseNoCats,71.11128,5.74e-06,4.1681895
day_of_month,LSTM,DeepLIFT,5.5716596,baseNoCats,45.455135,3.67e-06,5.2398467
event_type_1,LSTM,DeepLIFT,1.5930206,baseNoCats,4.299633,3.47e-07,1.6753966
event_name_1,LSTM,DeepLIFT,1.1287966,baseNoCats,2.5098898,2.02e-07,1.6534437
